Symbol,Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
AIMC,AIMC,Altra Industrial Motion Corp.,37.8,1107897134,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc
AMAG,AMAG,"AMAG Pharmaceuticals, Inc.",22.4,782643635.2,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag
AMRN,AMRN,Amarin Corporation plc,3.17,832540850.1,262631183,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn
AMRK,AMRK,"A-Mark Precious Metals, Inc.",17.03,119745593.5,n/a,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk
AYA,AYA,Amaya Inc.,17.75,2599111502,n/a,n/a,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/aya
AMZN,AMZN,"Amazon.com, Inc.",898.53,4.29451E+11,n/a,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn
AMBC,AMBC,"Ambac Financial Group, Inc.",19.42,878346111.9,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc
AMBCW,AMBCW,"Ambac Financial Group, Inc.",9.6165,0,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw
AMBA,AMBA,"Ambarella, Inc.",53.35,1788529674,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba
AMCX,AMCX,AMC Networks Inc.,59.26,4014221081,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx
DOX,DOX,Amdocs Limited,60.71,8905671320,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox
AMDA,AMDA,Amedica Corporation,0.38,13780654.78,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda
AMED,AMED,Amedisys Inc,52.63,1768758515,n/a,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed
UHAL,UHAL,Amerco,364.55,7148019115,n/a,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal
ATAX,ATAX,"America First Multifamily Investors, L.P.",5.75,346291093.5,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
AMOV,AMOV,"America Movil, S.A.B. de C.V.",14.42,47271644000,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov
AAL,AAL,"American Airlines Group, Inc.",45.15,22380855000,n/a,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal
ACSF,ACSF,"American Capital Senior Floating, Ltd.",13.5,135001350,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acsf
AETI,AETI,"American Electric Technologies, Inc.",1.681,14012762.21,n/a,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti
AMNB,AMNB,"American National Bankshares, Inc.",38.4,331727769.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb
ANAT,ANAT,American National Insurance Company,115.85,3119506273,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat
AOBC,AOBC,American Outdoor Brands Corporation,21.15,1209780000,n/a,n/a,Capital Goods,Ordnance And Accessories,http://www.nasdaq.com/symbol/aobc
APEI,APEI,"American Public Education, Inc.",21.75,352783390.5,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei
ARII,ARII,"American Railcar Industries, Inc.",41.98,801141198.4,n/a,n/a,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
AMRB,AMRB,American River Bankshares,14.71,96291056.89,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb
AMSWA,AMSWA,"American Software, Inc.",10.85,319754697.2,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa
AMSC,AMSC,American Superconductor Corporation,6.93,98544496.05,n/a,n/a,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc
AMWD,AMWD,American Woodmark Corporation,87.4,1418731425,n/a,n/a,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd
CRMT,CRMT,"America&#39;s Car-Mart, Inc.",36,280696968,n/a,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt
ABCB,ABCB,Ameris Bancorp,46.3,1719178820,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb
AMSF,AMSF,"AMERISAFE, Inc.",65.05,1250920282,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf
ASRV,ASRV,AmeriServ Financial Inc.,4.05,76295601,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
ASRVP,ASRVP,AmeriServ Financial Inc.,27.172,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
ATLO,ATLO,Ames National Corporation,31.1,289569394.3,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo
AMGN,AMGN,Amgen Inc.,160.41,1.18044E+11,n/a,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn
FOLD,FOLD,"Amicus Therapeutics, Inc.",7.26,1036299921,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold
AMKR,AMKR,"Amkor Technology, Inc.",11.73,2803642736,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr
AMPH,AMPH,"Amphastar Pharmaceuticals, Inc.",14.74,676715109.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph
IBUY,IBUY,Amplify Online Retail ETF,30.51,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibuy
ASYS,ASYS,"Amtech Systems, Inc.",5.36,70642307.6,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
AFSI,AFSI,"AmTrust Financial Services, Inc.",16.01,2738952120,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi
AMRS,AMRS,"Amyris, Inc.",0.5341,148650815.6,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs
ADI,ADI,"Analog Devices, Inc.",77.63,28341992438,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi
ALOG,ALOG,Analogic Corporation,71.2,889230256.8,n/a,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog
ANAB,ANAB,"AnaptysBio, Inc.",24.52,494660104.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anab
AVXL,AVXL,Anavex Life Sciences Corp.,5.71,236257308.3,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/avxl
ANCB,ANCB,Anchor Bancorp,24.85,62236079.5,n/a,n/a,Finance,Banks,http://www.nasdaq.com/symbol/ancb
ANDA,ANDA,Andina Acquisition Corp. II,10.15,53896500,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/anda
ANDAR,ANDAR,Andina Acquisition Corp. II,0.549,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andar
ANDAU,ANDAU,Andina Acquisition Corp. II,11,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andau
ANDAW,ANDAW,Andina Acquisition Corp. II,0.29,0,n/a,n/a,Finance,Business Services,http://www.nasdaq.com/symbol/andaw
ANGI,ANGI,"Angie&#39;s List, Inc.",5.88,349445565.8,n/a,n/a,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi
ANGO,ANGO,"AngioDynamics, Inc.",15.5,570224803.5,n/a,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango
ANIP,ANIP,"ANI Pharmaceuticals, Inc.",50.42,584899731,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip
